"Hex","Dec","InvDec","Symbol","Description"
"0000001D","29","-4294967267","ERROR_WRITE_FAULT","The system cannot write to the specified device."
"0000001E","30","-4294967266","ERROR_READ_FAULT","The system cannot read from the specified device."
"0000001F","31","-4294967265","ERROR_GEN_FAILURE","A device attached to the system is not functioning."
"00000020","32","-4294967264","ERROR_SHARING_VIOLATION","The process cannot access the file because it is being used by another process."
"00000021","33","-4294967263","ERROR_LOCK_VIOLATION","The process cannot access the file because another process has locked a portion of the file."
"00000022","34","-4294967262","ERROR_WRONG_DISK","The wrong diskette is in the drive. Insert %2"
"00000024","36","-4294967260","ERROR_SHARING_BUFFER_EXCEEDED","Too many files opened for sharing."
"00000026","38","-4294967258","ERROR_HANDLE_EOF","Reached the end of the file."
"00000027","39","-4294967257","ERROR_HANDLE_DISK_FULL","The disk is full."
"00000032","50","-4294967246","ERROR_NOT_SUPPORTED","The request is not supported."
"00000033","51","-4294967245","ERROR_REM_NOT_LIST","Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path - contact your network administrator."
"00000034","52","-4294967244","ERROR_DUP_NAME","You were not connected because a duplicate name exists on the network. If joining a domain - go to System in Control Panel to change the computer name and try again. If joining a workgroup - choose another workgroup name."
"00000035","53","-4294967243","ERROR_BAD_NETPATH","The network path was not found."
"00000036","54","-4294967242","ERROR_NETWORK_BUSY","The network is busy."
"00000037","55","-4294967241","ERROR_DEV_NOT_EXIST","The specified network resource or device is no longer available."
"00000038","56","-4294967240","ERROR_TOO_MANY_CMDS","The network BIOS command limit has been reached."
"00000039","57","-4294967239","ERROR_ADAP_HDW_ERR","A network adapter hardware error occurred."
"0000003A","58","-4294967238","ERROR_BAD_NET_RESP","The specified server cannot perform the requested operation."
"0000003B","59","-4294967237","ERROR_UNEXP_NET_ERR","An unexpected network error occurred."
"0000003C","60","-4294967236","ERROR_BAD_REM_ADAP","The remote adapter is not compatible."
"0000003D","61","-4294967235","ERROR_PRINTQ_FULL","The printer queue is full."
"0000003E","62","-4294967234","ERROR_NO_SPOOL_SPACE","Space to store the file waiting to be printed is not available on the server."
"0000003F","63","-4294967233","ERROR_PRINT_CANCELLED","Your file waiting to be printed was deleted."
"00000040","64","-4294967232","ERROR_NETNAME_DELETED","The specified network name is no longer available."
"00000041","65","-4294967231","ERROR_NETWORK_ACCESS_DENIED","Network access is denied."
"00000042","66","-4294967230","ERROR_BAD_DEV_TYPE","The network resource type is not correct."
"00000043","67","-4294967229","ERROR_BAD_NET_NAME","The network name cannot be found."
"00000044","68","-4294967228","ERROR_TOO_MANY_NAMES","The name limit for the local computer network adapter card was exceeded."
"00000045","69","-4294967227","ERROR_TOO_MANY_SESS","The network BIOS session limit was exceeded."
"00000046","70","-4294967226","ERROR_SHARING_PAUSED","The remote server has been paused or is in the process of being started."
"00000047","71","-4294967225","ERROR_REQ_NOT_ACCEP","No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept."
"00000048","72","-4294967224","ERROR_REDIR_PAUSED","The specified printer or disk device has been paused."
"00000050","80","-4294967216","ERROR_FILE_EXISTS","The file exists."
"00000052","82","-4294967214","ERROR_CANNOT_MAKE","The directory or file cannot be created."
"00000053","83","-4294967213","ERROR_FAIL_I24","Fail on INT 24."
"00000054","84","-4294967212","ERROR_OUT_OF_STRUCTURES","Storage to process this request is not available."
"00000055","85","-4294967211","ERROR_ALREADY_ASSIGNED","The local device name is already in use."
"00000056","86","-4294967210","ERROR_INVALID_PASSWORD","The specified network password is not correct."
"00000057","87","-4294967209","ERROR_INVALID_PARAMETER","The parameter is incorrect."
"00000058","88","-4294967208","ERROR_NET_WRITE_FAULT","A write fault occurred on the network."
"00000059","89","-4294967207","ERROR_NO_PROC_SLOTS","The system cannot start another process at this time."
"00000064","100","-4294967196","ERROR_TOO_MANY_SEMAPHORES","Cannot create another system semaphore."
"00000065","101","-4294967195","ERROR_EXCL_SEM_ALREADY_OWNED","The exclusive semaphore is owned by another process."
"00000066","102","-4294967194","ERROR_SEM_IS_SET","The semaphore is set and cannot be closed."
"00000067","103","-4294967193","ERROR_TOO_MANY_SEM_REQUESTS","The semaphore cannot be set again."
"00000068","104","-4294967192","ERROR_INVALID_AT_INTERRUPT_TIME","Cannot request exclusive semaphores at interrupt time."
"00000069","105","-4294967191","ERROR_SEM_OWNER_DIED","The previous ownership of this semaphore has ended."
"0000006A","106","-4294967190","ERROR_SEM_USER_LIMIT","Insert the diskette for drive %1."
"0000006B","107","-4294967189","ERROR_DISK_CHANGE","The program stopped because an alternate diskette was not inserted."
"0000006C","108","-4294967188","ERROR_DRIVE_LOCKED","The disk is in use or locked by another process."
"0000006D","109","-4294967187","ERROR_BROKEN_PIPE","The pipe has been ended."
"0000006E","110","-4294967186","ERROR_OPEN_FAILED","The system cannot open the device or file specified."
"0000006F","111","-4294967185","ERROR_BUFFER_OVERFLOW","The file name is too long."
"00000070","112","-4294967184","ERROR_DISK_FULL","There is not enough space on the disk."
"00000071","113","-4294967183","ERROR_NO_MORE_SEARCH_HANDLES","No more internal file identifiers available."
"00000072","114","-4294967182","ERROR_INVALID_TARGET_HANDLE","The target internal file identifier is incorrect."
"00000075","117","-4294967179","ERROR_INVALID_CATEGORY","The IOCTL call made by the application program is not correct."
"00000076","118","-4294967178","ERROR_INVALID_VERIFY_SWITCH","The verify-on-write switch parameter value is not correct."
"00000077","119","-4294967177","ERROR_BAD_DRIVER_LEVEL","The system does not support the command requested."
"00000078","120","-4294967176","ERROR_CALL_NOT_IMPLEMENTED","This function is not supported on this system."
"00000079","121","-4294967175","ERROR_SEM_TIMEOUT","The semaphore timeout period has expired."
"0000007A","122","-4294967174","ERROR_INSUFFICIENT_BUFFER","The data area passed to a system call is too small."
"0000007B","123","-4294967173","ERROR_INVALID_NAME","The filename - directory name - or volume label syntax is incorrect."
"0000007C","124","-4294967172","ERROR_INVALID_LEVEL","The system call level is not correct."
"0000007D","125","-4294967171","ERROR_NO_VOLUME_LABEL","The disk has no volume label."
"0000007E","126","-4294967170","ERROR_MOD_NOT_FOUND","The specified module could not be found."
"0000007F","127","-4294967169","ERROR_PROC_NOT_FOUND","The specified procedure could not be found."
"00000080","128","-4294967168","ERROR_WAIT_NO_CHILDREN","There are no child processes to wait for."
"00000081","129","-4294967167","ERROR_CHILD_NOT_COMPLETE","The %1 application cannot be run in Win32 mode."
"00000082","130","-4294967166","ERROR_DIRECT_ACCESS_HANDLE","Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O."
"00000083","131","-4294967165","ERROR_NEGATIVE_SEEK","An attempt was made to move the file pointer before the beginning of the file."
"00000084","132","-4294967164","ERROR_SEEK_ON_DEVICE","The file pointer cannot be set on the specified device or file."
"00000085","133","-4294967163","ERROR_IS_JOIN_TARGET","A JOIN or SUBST command cannot be used for a drive that contains previously joined drives."
"00000086","134","-4294967162","ERROR_IS_JOINED","An attempt was made to use a JOIN or SUBST command on a drive that has already been joined."
"00000087","135","-4294967161","ERROR_IS_SUBSTED","An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted."
"00000088","136","-4294967160","ERROR_NOT_JOINED","The system tried to delete the JOIN of a drive that is not joined."
"00000089","137","-4294967159","ERROR_NOT_SUBSTED","The system tried to delete the substitution of a drive that is not substituted."
"0000008A","138","-4294967158","ERROR_JOIN_TO_JOIN","The system tried to join a drive to a directory on a joined drive."
"0000008B","139","-4294967157","ERROR_SUBST_TO_SUBST","The system tried to substitute a drive to a directory on a substituted drive."
"0000008C","140","-4294967156","ERROR_JOIN_TO_SUBST","The system tried to join a drive to a directory on a substituted drive."
"0000008D","141","-4294967155","ERROR_SUBST_TO_JOIN","The system tried to SUBST a drive to a directory on a joined drive."
"0000008E","142","-4294967154","ERROR_BUSY_DRIVE","The system cannot perform a JOIN or SUBST at this time."
"0000008F","143","-4294967153","ERROR_SAME_DRIVE","The system cannot join or substitute a drive to or for a directory on the same drive."
"00000090","144","-4294967152","ERROR_DIR_NOT_ROOT","The directory is not a subdirectory of the root directory."
"00000091","145","-4294967151","ERROR_DIR_NOT_EMPTY","The directory is not empty."
"00000092","146","-4294967150","ERROR_IS_SUBST_PATH","The path specified is being used in a substitute."
"00000093","147","-4294967149","ERROR_IS_JOIN_PATH","Not enough resources are available to process this command."
"00000094","148","-4294967148","ERROR_PATH_BUSY","The path specified cannot be used at this time."
"00000095","149","-4294967147","ERROR_IS_SUBST_TARGET","An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute."
"00000096","150","-4294967146","ERROR_SYSTEM_TRACE","System trace information was not specified in your CONFIG.SYS file - or tracing is disallowed."
"00000097","151","-4294967145","ERROR_INVALID_EVENT_COUNT","The number of specified semaphore events for DosMuxSemWait is not correct."
"00000098","152","-4294967144","ERROR_TOO_MANY_MUXWAITERS","DosMuxSemWait did not execute; too many semaphores are already set."
"00000099","153","-4294967143","ERROR_INVALID_LIST_FORMAT","The DosMuxSemWait list is not correct."
"0000009A","154","-4294967142","ERROR_LABEL_TOO_LONG","The volume label you entered exceeds the label character limit of the target file system."
"0000009B","155","-4294967141","ERROR_TOO_MANY_TCBS","Cannot create another thread."
"0000009C","156","-4294967140","ERROR_SIGNAL_REFUSED","The recipient process has refused the signal."
"0000009D","157","-4294967139","ERROR_DISCARDED","The segment is already discarded and cannot be locked."
"0000009E","158","-4294967138","ERROR_NOT_LOCKED","The segment is already unlocked."
"0000009F","159","-4294967137","ERROR_BAD_THREADID_ADDR","The address for the thread ID is not correct."
"000000A0","160","-4294967136","ERROR_BAD_ARGUMENTS","One or more arguments are not correct."
"000000A1","161","-4294967135","ERROR_BAD_PATHNAME","The specified path is invalid."
"000000A2","162","-4294967134","ERROR_SIGNAL_PENDING","A signal is already pending."
"000000A4","164","-4294967132","ERROR_MAX_THRDS_REACHED","No more threads can be created in the system."
"000000A7","167","-4294967129","ERROR_LOCK_FAILED","Unable to lock a region of a file."
"000000AA","170","-4294967126","ERROR_BUSY","The requested resource is in use."
"000000AB","171","-4294967125","ERROR_DEVICE_SUPPORT_IN_PROGRESS","Device's command support detection is in progress."
"000000AD","173","-4294967123","ERROR_CANCEL_VIOLATION","A lock request was not outstanding for the supplied cancel region."
"000000AE","174","-4294967122","ERROR_ATOMIC_LOCKS_NOT_SUPPORTED","The file system does not support atomic changes to the lock type."
"000000B4","180","-4294967116","ERROR_INVALID_SEGMENT_NUMBER","The system detected a segment number that was not correct."
"000000B6","182","-4294967114","ERROR_INVALID_ORDINAL","The operating system cannot run %1."
"000000B7","183","-4294967113","ERROR_ALREADY_EXISTS","Cannot create a file when that file already exists."
"000000BA","186","-4294967110","ERROR_INVALID_FLAG_NUMBER","The flag passed is not correct."
"000000BB","187","-4294967109","ERROR_SEM_NOT_FOUND","The specified system semaphore name was not found."
"000000BC","188","-4294967108","ERROR_INVALID_STARTING_CODESEG","The operating system cannot run %1."
"000000BD","189","-4294967107","ERROR_INVALID_STACKSEG","The operating system cannot run %1."
"000000BE","190","-4294967106","ERROR_INVALID_MODULETYPE","The operating system cannot run %1."
"000000BF","191","-4294967105","ERROR_INVALID_EXE_SIGNATURE","Cannot run %1 in Win32 mode."
"000000C0","192","-4294967104","ERROR_EXE_MARKED_INVALID","The operating system cannot run %1."
"000000C1","193","-4294967103","ERROR_BAD_EXE_FORMAT","%1 is not a valid Win32 application."
"000000C2","194","-4294967102","ERROR_ITERATED_DATA_EXCEEDS_64k","The operating system cannot run %1."
"000000C3","195","-4294967101","ERROR_INVALID_MINALLOCSIZE","The operating system cannot run %1."
"000000C4","196","-4294967100","ERROR_DYNLINK_FROM_INVALID_RING","The operating system cannot run this application program."
"000000C5","197","-4294967099","ERROR_IOPL_NOT_ENABLED","The operating system is not presently configured to run this application."
"000000C6","198","-4294967098","ERROR_INVALID_SEGDPL","The operating system cannot run %1."
"000000C7","199","-4294967097","ERROR_AUTODATASEG_EXCEEDS_64k","The operating system cannot run this application program."
"000000C8","200","-4294967096","ERROR_RING2SEG_MUST_BE_MOVABLE","The code segment cannot be greater than or equal to 64K."
"000000C9","201","-4294967095","ERROR_RELOC_CHAIN_XEEDS_SEGLIM","The operating system cannot run %1."
"000000CA","202","-4294967094","ERROR_INFLOOP_IN_RELOC_CHAIN","The operating system cannot run %1."
"000000CB","203","-4294967093","ERROR_ENVVAR_NOT_FOUND","The system could not find the environment option that was entered."
"000000CD","205","-4294967091","ERROR_NO_SIGNAL_SENT","No process in the command subtree has a signal handler."
"000000CE","206","-4294967090","ERROR_FILENAME_EXCED_RANGE","The filename or extension is too long."
"000000CF","207","-4294967089","ERROR_RING2_STACK_IN_USE","The ring 2 stack is in use."
"000000D0","208","-4294967088","ERROR_META_EXPANSION_TOO_LONG","The global filename characters - * or ? - are entered incorrectly or too many global filename characters are specified."
"000000D1","209","-4294967087","ERROR_INVALID_SIGNAL_NUMBER","The signal being posted is not correct."
"000000D2","210","-4294967086","ERROR_THREAD_1_INACTIVE","The signal handler cannot be set."
"000000D4","212","-4294967084","ERROR_LOCKED","The segment is locked and cannot be reallocated."
"000000D6","214","-4294967082","ERROR_TOO_MANY_MODULES","Too many dynamic-link modules are attached to this program or dynamic-link module."
"000000D7","215","-4294967081","ERROR_NESTING_NOT_ALLOWED","Cannot nest calls to LoadModule."
"000000D8","216","-4294967080","ERROR_EXE_MACHINE_TYPE_MISMATCH","This version of %1 is not compatible with the version of Windows you're running. Check your computer's system information and then contact the software publisher."
"000000D9","217","-4294967079","ERROR_EXE_CANNOT_MODIFY_SIGNED_BINARY","The image file %1 is signed - unable to modify."
"000000DA","218","-4294967078","ERROR_EXE_CANNOT_MODIFY_STRONG_SIGNED_BINARY","The image file %1 is strong signed - unable to modify."
"000000DC","220","-4294967076","ERROR_FILE_CHECKED_OUT","This file is checked out or locked for editing by another user."
"000000DD","221","-4294967075","ERROR_CHECKOUT_REQUIRED","The file must be checked out before saving changes."
"000000DE","222","-4294967074","ERROR_BAD_FILE_TYPE","The file type being saved or retrieved has been blocked."
"000000DF","223","-4294967073","ERROR_FILE_TOO_LARGE","The file size exceeds the limit allowed and cannot be saved."
"000000E0","224","-4294967072","ERROR_FORMS_AUTH_REQUIRED","Access Denied. Before opening files in this location - you must first add the web site to your trusted sites list - browse to the web site - and select the option to login automatically."
"000000E1","225","-4294967071","ERROR_VIRUS_INFECTED","Operation did not complete successfully because the file contains a virus or potentially unwanted software."
"000000E2","226","-4294967070","ERROR_VIRUS_DELETED","This file contains a virus or potentially unwanted software and cannot be opened. Due to the nature of this virus or potentially unwanted software - the file has been removed from this location."
"000000E5","229","-4294967067","ERROR_PIPE_LOCAL","The pipe is local."
"000000E6","230","-4294967066","ERROR_BAD_PIPE","The pipe state is invalid."
"000000E7","231","-4294967065","ERROR_PIPE_BUSY","All pipe instances are busy."
"000000E8","232","-4294967064","ERROR_NO_DATA","The pipe is being closed."
"000000E9","233","-4294967063","ERROR_PIPE_NOT_CONNECTED","No process is on the other end of the pipe."
"000000EA","234","-4294967062","ERROR_MORE_DATA","More data is available."
"000000F0","240","-4294967056","ERROR_VC_DISCONNECTED","The session was canceled."
"000000FE","254","-4294967042","ERROR_INVALID_EA_NAME","The specified extended attribute name was invalid."
"000000FF","255","-4294967041","ERROR_EA_LIST_INCONSISTENT","The extended attributes are inconsistent."
"00000102","258","-4294967038","WAIT_TIMEOUT","The wait operation timed out."
"00000103","259","-4294967037","ERROR_NO_MORE_ITEMS","No more data is available."
"0000010A","266","-4294967030","ERROR_CANNOT_COPY","The copy functions cannot be used."
"0000010B","267","-4294967029","ERROR_DIRECTORY","The directory name is invalid."
"00000113","275","-4294967021","ERROR_EAS_DIDNT_FIT","The extended attributes did not fit in the buffer."
"00000114","276","-4294967020","ERROR_EA_FILE_CORRUPT","The extended attribute file on the mounted file system is corrupt."
"00000115","277","-4294967019","ERROR_EA_TABLE_FULL","The extended attribute table file is full."
"00000116","278","-4294967018","ERROR_INVALID_EA_HANDLE","The specified extended attribute handle is invalid."
"0000011A","282","-4294967014","ERROR_EAS_NOT_SUPPORTED","The mounted file system does not support extended attributes."
"00000120","288","-4294967008","ERROR_NOT_OWNER","Attempt to release mutex not owned by caller."
"0000012A","298","-4294966998","ERROR_TOO_MANY_POSTS","Too many posts were made to a semaphore."
"0000012B","299","-4294966997","ERROR_PARTIAL_COPY","Only part of a ReadProcessMemory or WriteProcessMemory request was completed."
"0000012C","300","-4294966996","ERROR_OPLOCK_NOT_GRANTED","The oplock request is denied."
"0000012D","301","-4294966995","ERROR_INVALID_OPLOCK_PROTOCOL","An invalid oplock acknowledgment was received by the system."
"0000012E","302","-4294966994","ERROR_DISK_TOO_FRAGMENTED","The volume is too fragmented to complete this operation."
"0000012F","303","-4294966993","ERROR_DELETE_PENDING","The file cannot be opened because it is in the process of being deleted."
"00000130","304","-4294966992","ERROR_INCOMPATIBLE_WITH_GLOBAL_SHORT_NAME_REGISTRY_SETTING","Short name settings may not be changed on this volume due to the global registry setting."
"00000131","305","-4294966991","ERROR_SHORT_NAMES_NOT_ENABLED_ON_VOLUME","Short names are not enabled on this volume."
"00000132","306","-4294966990","ERROR_SECURITY_STREAM_IS_INCONSISTENT","The security stream for the given volume is in an inconsistent state. Please run CHKDSK on the volume."
"00000133","307","-4294966989","ERROR_INVALID_LOCK_RANGE","A requested file lock operation cannot be processed due to an invalid byte range."
"00000134","308","-4294966988","ERROR_IMAGE_SUBSYSTEM_NOT_PRESENT","The subsystem needed to support the image type is not present."
"00000135","309","-4294966987","ERROR_NOTIFICATION_GUID_ALREADY_DEFINED","The specified file already has a notification GUID associated with it."
"00000136","310","-4294966986","ERROR_INVALID_EXCEPTION_HANDLER","An invalid exception handler routine has been detected."
"00000137","311","-4294966985","ERROR_DUPLICATE_PRIVILEGES","Duplicate privileges were specified for the token."
"00000138","312","-4294966984","ERROR_NO_RANGES_PROCESSED","No ranges for the specified operation were able to be processed."
"00000139","313","-4294966983","ERROR_NOT_ALLOWED_ON_SYSTEM_FILE","Operation is not allowed on a file system internal file."
"0000013A","314","-4294966982","ERROR_DISK_RESOURCES_EXHAUSTED","The physical resources of this disk have been exhausted."
"0000013B","315","-4294966981","ERROR_INVALID_TOKEN","The token representing the data is invalid."
"0000013C","316","-4294966980","ERROR_DEVICE_FEATURE_NOT_SUPPORTED","The device does not support the command feature."
"0000013D","317","-4294966979","ERROR_MR_MID_NOT_FOUND","The system cannot find message text for message number 00000%1 in the message file for %2."
"0000013E","318","-4294966978","ERROR_SCOPE_NOT_FOUND","The scope specified was not found."
"0000013F","319","-4294966977","ERROR_UNDEFINED_SCOPE","The Central Access Policy specified is not defined on the target machine."
"00000140","320","-4294966976","ERROR_INVALID_CAP","The Central Access Policy obtained from Active Directory is invalid."
"00000141","321","-4294966975","ERROR_DEVICE_UNREACHABLE","The device is unreachable."
"00000142","322","-4294966974","ERROR_DEVICE_NO_RESOURCES","The target device has insufficient resources to complete the operation."
"00000143","323","-4294966973","ERROR_DATA_CHECKSUM_ERROR","A data integrity checksum error occurred. Data in the file stream is corrupt."
"00000144","324","-4294966972","ERROR_INTERMIXED_KERNEL_EA_OPERATION","An attempt was made to modify both a KERNEL and normal Extended Attribute"
"00000146","326","-4294966970","ERROR_FILE_LEVEL_TRIM_NOT_SUPPORTED","Device does not support file-level TRIM."
"00000147","327","-4294966969","ERROR_OFFSET_ALIGNMENT_VIOLATION","The command specified a data offset that does not align to the device's granularity/alignment."
"00000148","328","-4294966968","ERROR_INVALID_FIELD_IN_PARAMETER_LIST","The command specified an invalid field in its parameter list."
"00000149","329","-4294966967","ERROR_OPERATION_IN_PROGRESS","An operation is currently in progress with the device."
"0000014A","330","-4294966966","ERROR_BAD_DEVICE_PATH","An attempt was made to send down the command via an invalid path to the target device."
"0000014B","331","-4294966965","ERROR_TOO_MANY_DESCRIPTORS","The command specified a number of descriptors that exceeded the maximum supported by the device."
"0000014C","332","-4294966964","ERROR_SCRUB_DATA_DISABLED","Scrub is disabled on the specified file."
"0000014D","333","-4294966963","ERROR_NOT_REDUNDANT_STORAGE","The storage device does not provide redundancy."
"0000014E","334","-4294966962","ERROR_RESIDENT_FILE_NOT_SUPPORTED","An operation is not supported on a resident file."
"0000014F","335","-4294966961","ERROR_COMPRESSED_FILE_NOT_SUPPORTED","An operation is not supported on a compressed file."
"00000150","336","-4294966960","ERROR_DIRECTORY_NOT_SUPPORTED","An operation is not supported on a directory."
"00000151","337","-4294966959","ERROR_NOT_READ_FROM_COPY","The specified copy of the requested data could not be read."
"0000015E","350","-4294966946","ERROR_FAIL_NOACTION_REBOOT","No action was taken as a system reboot is required."
"0000015F","351","-4294966945","ERROR_FAIL_SHUTDOWN","The shutdown operation failed."
"00000160","352","-4294966944","ERROR_FAIL_RESTART","The restart operation failed."
"00000161","353","-4294966943","ERROR_MAX_SESSIONS_REACHED","The maximum number of sessions has been reached."
"00000190","400","-4294966896","ERROR_THREAD_MODE_ALREADY_BACKGROUND","The thread is already in background processing mode."
"00000191","401","-4294966895","ERROR_THREAD_MODE_NOT_BACKGROUND","The thread is not in background processing mode."
"00000192","402","-4294966894","ERROR_PROCESS_MODE_ALREADY_BACKGROUND","The process is already in background processing mode."
"00000193","403","-4294966893","ERROR_PROCESS_MODE_NOT_BACKGROUND","The process is not in background processing mode."
"000001E7","487","-4294966809","ERROR_INVALID_ADDRESS","Attempt to access invalid address."
"000001F4","500","-4294966796","ERROR_USER_PROFILE_LOAD","User profile cannot be loaded."
"00000216","534","-4294966762","ERROR_ARITHMETIC_OVERFLOW","Arithmetic result exceeded 32 bits."
"00000217","535","-4294966761","ERROR_PIPE_CONNECTED","There is a process on other end of the pipe."
"00000218","536","-4294966760","ERROR_PIPE_LISTENING","Waiting for a process to open the other end of the pipe."
"00000219","537","-4294966759","ERROR_VERIFIER_STOP","Application verifier has found an error in the current process."
"0000021A","538","-4294966758","ERROR_ABIOS_ERROR","An error occurred in the ABIOS subsystem."
"0000021B","539","-4294966757","ERROR_WX86_WARNING","A warning occurred in the WX86 subsystem."
"0000021C","540","-4294966756","ERROR_WX86_ERROR","An error occurred in the WX86 subsystem."
"0000021D","541","-4294966755","ERROR_TIMER_NOT_CANCELED","An attempt was made to cancel or set a timer that has an associated APC and the subject thread is not the thread that originally set the timer with an associated APC routine."
"0000021E","542","-4294966754","ERROR_UNWIND","Unwind exception code."
"0000021F","543","-4294966753","ERROR_BAD_STACK","An invalid or unaligned stack was encountered during an unwind operation."
"00000220","544","-4294966752","ERROR_INVALID_UNWIND_TARGET","An invalid unwind target was encountered during an unwind operation."
"00000221","545","-4294966751","ERROR_INVALID_PORT_ATTRIBUTES","Invalid Object Attributes specified to NtCreatePort or invalid Port Attributes specified to NtConnectPort"
"00000223","547","-4294966749","ERROR_INVALID_QUOTA_LOWER","An attempt was made to lower a quota limit below the current usage."
"00000224","548","-4294966748","ERROR_DEVICE_ALREADY_ATTACHED","An attempt was made to attach to a device that was already attached to another device."
"00000225","549","-4294966747","ERROR_INSTRUCTION_MISALIGNMENT","An attempt was made to execute an instruction at an unaligned address and the host system does not support unaligned instruction references."
"00000226","550","-4294966746","ERROR_PROFILING_NOT_STARTED","Profiling not started."
"00000227","551","-4294966745","ERROR_PROFILING_NOT_STOPPED","Profiling not stopped."
"00000228","552","-4294966744","ERROR_COULD_NOT_INTERPRET","The passed ACL did not contain the minimum required information."
"00000229","553","-4294966743","ERROR_PROFILING_AT_LIMIT","The number of active profiling objects is at the maximum and no more may be started."
"0000022A","554","-4294966742","ERROR_CANT_WAIT","Used to indicate that an operation cannot continue without blocking for I/O."
"0000022B","555","-4294966741","ERROR_CANT_TERMINATE_SELF","Indicates that a thread attempted to terminate itself by default"
"0000022C","556","-4294966740","ERROR_UNEXPECTED_MM_CREATE_ERR","If an MM error is returned which is not defined in the standard FsRtl filter - it is converted to one of the following errors which is guaranteed to be in the filter. In this case information is lost - however - the filter correctly handles the exception."
"0000022D","557","-4294966739","ERROR_UNEXPECTED_MM_MAP_ERROR","If an MM error is returned which is not defined in the standard FsRtl filter - it is converted to one of the following errors which is guaranteed to be in the filter. In this case information is lost - however - the filter correctly handles the exception."
"0000022E","558","-4294966738","ERROR_UNEXPECTED_MM_EXTEND_ERR","If an MM error is returned which is not defined in the standard FsRtl filter - it is converted to one of the following errors which is guaranteed to be in the filter. In this case information is lost - however - the filter correctly handles the exception."
"0000022F","559","-4294966737","ERROR_BAD_FUNCTION_TABLE","A malformed function table was encountered during an unwind operation."
"00000230","560","-4294966736","ERROR_NO_GUID_TRANSLATION","Indicates that an attempt was made to assign protection to a file system file or directory and one of the SIDs in the security descriptor could not be translated into a GUID that could be stored by the file system. This causes the protection attempt to fail - which may cause a file creation attempt to fail."
"00000231","561","-4294966735","ERROR_INVALID_LDT_SIZE","Indicates that an attempt was made to grow an LDT by setting its size - or that the size was not an even number of selectors."
"00000233","563","-4294966733","ERROR_INVALID_LDT_OFFSET","Indicates that the starting value for the LDT information was not an integral multiple of the selector size."
"00000234","564","-4294966732","ERROR_INVALID_LDT_DESCRIPTOR","Indicates that the user supplied an invalid descriptor when trying to set up Ldt descriptors."
"00000235","565","-4294966731","ERROR_TOO_MANY_THREADS","Indicates a process has too many threads to perform the requested action. For example - assignment of a primary token may only be performed when a process has zero or one threads."
